"item","condition","Group","attractor","grammatical","sentence","correctnoun","question","correct","wrong1","wrong2","wrong3","answer5","hasQuestion"
127,AC,1,None,1,"In_the upcoming rating_task, please select '2' as_your response.",None,Which one is the correct response?,,,,,,1
127,AC,2,None,1,"In_the upcoming rating_task, please select '2' as_your response.",None,Which one is the correct response?,,,,,,1
127,AC,3,None,1,"In_the upcoming rating_task, please select '2' as_your response.",None,Which one is the correct response?,,,,,,1
127,AC,4,None,1,"In_the upcoming rating_task, please select '2' as_your response.",None,Which one is the correct response?,,,,,,1
128,AC,1,None,1,"In_the upcoming rating_task, please select '1' as_your response.",None,Which one is the correct response?,,,,,,1
128,AC,2,None,1,"In_the upcoming rating_task, please select '1' as_your response.",None,Which one is the correct response?,,,,,,1
128,AC,3,None,1,"In_the upcoming rating_task, please select '1' as_your response.",None,Which one is the correct response?,,,,,,1
128,AC,4,None,1,"In_the upcoming rating_task, please select '1' as_your response.",None,Which one is the correct response?,,,,,,1
129,AC,1,None,1,"In_the upcoming rating_task, please select '6' as_your response.",None,Which one is the correct response?,,,,,,1
129,AC,2,None,1,"In_the upcoming rating_task, please select '6' as_your response.",None,Which one is the correct response?,,,,,,1
129,AC,3,None,1,"In_the upcoming rating_task, please select '6' as_your response.",None,Which one is the correct response?,,,,,,1
129,AC,4,None,1,"In_the upcoming rating_task, please select '6' as_your response.",None,Which one is the correct response?,,,,,,1
130,AC,1,None,1,"In_the upcoming rating_task, please select '4' as_your response.",None,Which one is the correct response?,,,,,,1
130,AC,2,None,1,"In_the upcoming rating_task, please select '4' as_your response.",None,Which one is the correct response?,,,,,,1
130,AC,3,None,1,"In_the upcoming rating_task, please select '4' as_your response.",None,Which one is the correct response?,,,,,,1
130,AC,4,None,1,"In_the upcoming rating_task, please select '4' as_your response.",None,Which one is the correct response?,,,,,,1