list,is_filler,item,condition,NP_size,sentence,EN translation,context,question,correct,wrong,answer
1,yes,1013,right-branching RCs,,Le_docteur avait_soigné_la_patiente qui_était_tombée_malade la_veille_au_soir,The doctor had  cured the patient.FEM who had feel ill the night before.,Miracle à l'hôpital:,La patiente a-t-elle été soignée ?,Oui,Non,Je ne sais pas
1,yes,1014,right-branching RCs,,Le_voyageur avait_suivi_l'autochtone qui_connaissait_le_pays comme_sa_poche,The traveller had followed the local who knew the country like the back of his hand.,Il peut être dangereux de voyager seul:,L'autochtone avait-il guidé le voyageur ?,Oui,Non,Je ne sais pas
1,yes,1015,right-branching RCs,,La_conférencière avait_mentionné_les_philosophes qui_avaient_disserté sur_la_liberté_d'expression,The lecturer.FEM had mentioned the philosophers who had discussed freedom of expression.,Le séminaire avait été très intéressant:,La conférencière a-t-elle parlé de philosophes ?,Oui,Non,Je ne sais pas
1,yes,1016,right-branching RCs,,Le_chien avait_guetté_le_facteur qui_arrivait sur_son_vélo,The dog had looked out for the postman who was arriving on his bike.,On entendit des aboyements:,Le chien attendait-il le facteur ?,Oui,Non,Je ne sais pas
1,yes,1017,right-branching RCs,,Les_touristes avaient_attendu_le_guide qui_avait deux_heures_de_retard,The tourists had waited for the guide who was two hours late.,Tout le monde était fatigué:,Le guide avait-il fait patienter les touristes ?,Oui,Non,Je ne sais pas
1,yes,1018,right-branching RCs,,La_scientifique avait_observé_les_papillons qui_volaient dans_le_bosquet,The scientist.FEM had watched the butterflies that were flying in the grove.,Ce fut une promenade utile:,La scientifique s'était-elle intéressée aux papillons ?,Oui,Non,Je ne sais pas
1,yes,1019,right-branching RCs,,Les_policiers avaient_poursuivi_le_voleur qui_s'était_échappé par_la_fenêtre,The policemen had chased the thief who had escaped through the window.,L'appartement était sens dessus dessous:,Le voleur était-il toujours dans la maison ?,Non,Oui,Je ne sais pas
1,yes,1020,right-branching RCs,,Le_capitaine avait_réprimandé_les_marins qui_avaient_jeté_de_la_nourriture par_dessus-bord,The captain had reprimanded the sailors who had trown food overboard.,Les vivres commençaient à manquer:,Le capitaine avait-il jeté de la nourriture par-dessus-bord ?,Non,Oui,Je ne sais pas
1,yes,1021,right-branching RCs,,L'infirmière avait_soigné_les_personnes qui_étaient dans_un_état_critique,The nurse.FEM had treated the people who were in a critical condition.,L'explosion fit beaucoup de victimes:,L'infirmière avait-elle ignoré les personnes gravement blessées ?,Non,Oui,Je ne sais pas
1,yes,1022,right-branching RCs,,Le_boulanger avait_livré_les_clients qui_ne_pouvaient_pas sortir_de_chez_eux,The baker had delivered (bread) to the customers who could not get out of the house.,La pandémie fut l'occasion de faire de bonnes actions:,Le boulanger avait-il livré tous ses clients ?,Non,Oui,Je ne sais pas
1,yes,1023,right-branching RCs,,L'agent avait_espionné_l'homme qui_était_suspecté de_trafic_d'œuvres_d'art,The agent had spied on the man who was suspected of trafficking in works of art.,La mission était terminée:,L'agent était-il suspecté de trafic d'œuvres d'art ?,Non,Oui,Je ne sais pas
1,yes,1024,right-branching RCs,,La_factrice avait_salué_les_jeunes qui_s'étaient assis_sur_la_place_du_marché ce_matin-là,The postwoman had greeted the young people who had sat down on the maketplace that morning.,Tout était normal au village:,La factrice avait-elle ignoré les jeunes sur la palce du marché ?,Non,Oui,Je ne sais pas
1,yes,1025,center-embedded RCs,,Le_mécanicien qui_avait_réparé_le_moteur_de_la_voiture il_y_a_une_semaine a_envoyé_la_facture ce_matin,The mechanic who had repaired the car's engine a week ago has sent the invoice this morning. ,Mauvaise nouvelle pour le porte-monnaie:,,,,
1,yes,1026,center-embedded RCs,,Le_maçon qui_avait_construit_le_mur_du_jardin très_rapidement a_été_engagé pour_un_nouveau_projet,The mason who had build the garden's wall very quickly has been hired for a new project.,Le talent est parfois récompensé:,,,,
1,yes,1027,center-embedded RCs,,Le_juge qui_avait_condamné_le_criminel à_vingt_ans_de_prison est_revenu sur_sa_décision,The judge who had sentences the criminal to twenty years in prison went back on his decision.,Personne n'est infaillible:,Le juge avait-il condamné le criminel avant de changer d'avis ?,Oui,Non,Je ne sais pas
1,yes,1028,center-embedded RCs,,Le_patron qui_avait_engagé_le_stagiaire à_la_fin_de_son_stage a_dû_licencier_un_employé,The employer who had hired the intern at the end of his internship has had to fire an employee.,Le monde du travail est parfois cruel:,Le patron a-t-il viré le stagiaire ?,Non,Oui,Je ne sais pas
1,yes,1029,center-embedded RCs,,Le_prix que_l'agriculteur_avait_payé pour_les_engrais_biologiques_l'année_dernière a_augmenté depuis,The price that the farmer had paid for organic fertilisers last year has augmented since.,Les temps sont durs pour les cultivateurs:,,,,
1,yes,1030,center-embedded RCs,,Le_contrat que_l'entrepreneur_avait_signé à_la_fin_de_la_négotiatoin s'est_avéré frauduleux,The contract that the entrepreneur had signed at the end of the negociation proved to be fraudulent.,Personne n'est à l'abri d'une arnaque:,,,,
1,yes,1031,center-embedded RCs,,Le_mouton que_le_fermier_avait_élevé avec_soin a_été_vendu ce_matin_au_marché,The sheep that the farmer had raised with care has been sold this morning on the market.,Bonne nouvelle pour la ferme:,Le fermier a-t-il gardé son mouton ?,Non,Oui,Je ne sais pas
1,yes,1032,center-embedded RCs,,Le_mannequin que_la_costumière_avait_habillé à_la_dernière_minute a_défilé avec_grâce,The model that the costumer.FEM had dressed at the last minute has walked the catwalk with grace.,Une catastrophe fut évitée sur le podium:,La costumière a-t-elle terminé son travail à temps ?,Oui,Non,Je ne sais pas
1,yes,1033,center-embedded RCs,,L'arbre qu'avait_planté_le_jardinier au_début_du_printemps a_déjà_beaucoup_poussé,The tree that the gardener had planted in early spring has already grown a lot.,La nature est impressionnante:,,,,
1,yes,1034,center-embedded RCs,,Le_roman qu'avait_écrit_l'auteur avant_de_commencer_son_oeuvre_théâtrale n'a_pas_eu_de_succès.,The novel that the author had written before starting his theatrical work has not been a success.,Il faut parfois échouer avant de réussir:,,,,
1,yes,1035,center-embedded RCs,,Le_patient qu'avait_suivi_la_psychothérapeute après_un_évènement_traumatique a_pu_remonter la_pente,The patient who the therapist had treated after a traumatic event was able to get back on track.,L'espoir a porté ses fruits:,La psychothérapeute a-t-elle suivi le patient ?,Oui,Non,Je ne sais pas
1,yes,1036,center-embedded RCs,,Le_maire qu'avait_élu_le_peuple à_cause_de_ses_idées_extrémistes a_terminé_son_mandat cette_année,The mayor who the people had elected because of his extermists views has completed his term of office this year.,Des temps meilleurs sont sur le point d'arriver:,Le maire a-t-il interrompu son mandat avant la fin ?,Non,Oui,Je ne sais pas
2,yes,2001,declarative,,Le_pasteur avait_encouragé_la_vieille_dame à_prier chaque_jour,The pastor had encouraged the old lady to pray every day.,Pas de répit pour les croyants:,,,,
2,yes,2002,declarative,,La_patronne_du_café avait_fait_sortir_tous_les_clients après_minuit,The owner.FEM of the café had let all the customers out after midnight.,Le couvre-feu était établi:,,,,
2,yes,2003,declarative,,Les_supporters avaient_crié_de_toutes_leurs_forces lors_du_match,The fans had shouted at the top of their voices during the match.,L'ambiance était à son comble:,,,,
2,yes,2004,declarative,,Les_contrôleurs avaient_verbalisé_les_passagers sortant_du_train,The ticket inspectors had issued tickets to passengers leaving the train.,Pas de chance pour ceux sans billet:,,,,
2,yes,2005,declarative,,L'écrivain avait_préfacé_de_nombreux_livres sur_l'histoire_de_France,The writer had given a preface to many books on French history.,Il était un expert dans son domaine:,,,,
2,yes,2006,declarative,,Le_vieil_homme avait_pêché_beaucoup_de_poisson ce_jour-là,The old man had caught a lot of fish that day.,Les conditions étaient idéales:,,,,
2,yes,2007,declarative,,L'actrice avait_acheté_un_cadeau_pour_son_fils dans_une_brocante,The actress had bought a gift for her son in a flea market.,Pas de goûts de luxe:,,,,
2,yes,2008,declarative,,Les_écoliers avaient_jeté_des_pierres contre_les_vitres_du_bâtiment,The schoolkids had thrown stones against the windows of the building.,La désobéissance était monnaie courante:,,,,
2,yes,2009,declarative,,La_présentatrice avait_interrompu_le_journaliste au_milieu_d'une_phrase,The presenter.FEM had interrupted the reporter in the middle of a sentence.,Un évènement de la plus haute importance avait été annoncé:,,,,
2,yes,2010,declarative,,Le_détective avait_suivi_le_couple_à_travers_la_ville toute_la_nuit,The detective had followed the couple through the city the whole night.,Le soleil se levait sur la ville:,,,,
2,yes,2011,declarative,,L'ouvrier avait_remercié_le_contremaître pour_ses_précieux_conseils,The worker had thanked the foreman for his valuable advice.,Le chantier était enfin terminé:,,,,
2,yes,2012,declarative,,La_serveuse avait_impressionné_les_clients par_son_professionnalisme,The waitress had impressed the customers with her professionalism.,Le café était plein ce jour-là:,,,,
2,yes,2013,right-branching RCs,,Le_docteur avait_soigné_la_patiente qui_était_tombée_malade la_veille_au_soir,The doctor had  cured the patient.FEM who had feel ill the night before.,Miracle à l'hôpital:,La patiente a-t-elle été soignée ?,Oui,Non,Je ne sais pas
2,yes,2014,right-branching RCs,,Le_voyageur avait_suivi_l'autochtone qui_connaissait_le_pays comme_sa_poche,The traveller had followed the local who knew the country like the back of his hand.,Il peut être dangereux de voyager seul:,L'autochtone avait-il guidé le voyageur ?,Oui,Non,Je ne sais pas
2,yes,2015,right-branching RCs,,La_conférencière avait_mentionné_les_philosophes qui_avaient_disserté sur_la_liberté_d'expression,The lecturer.FEM had mentioned the philosophers who had discussed freedom of expression.,Le séminaire avait été très intéressant:,La conférencière a-t-elle parlé de philosophes ?,Oui,Non,Je ne sais pas
2,yes,2016,right-branching RCs,,Le_chien avait_guetté_le_facteur qui_arrivait sur_son_vélo,The dog had looked out for the postman who was arriving on his bike.,On entendit des aboyements:,Le chien attendait-il le facteur ?,Oui,Non,Je ne sais pas
2,yes,2017,right-branching RCs,,Les_touristes avaient_attendu_le_guide qui_avait deux_heures_de_retard,The tourists had waited for the guide who was two hours late.,Tout le monde était fatigué:,Le guide avait-il fait patienter les touristes ?,Oui,Non,Je ne sais pas
2,yes,2018,right-branching RCs,,La_scientifique avait_observé_les_papillons qui_volaient dans_le_bosquet,The scientist.FEM had watched the butterflies that were flying in the grove.,Ce fut une promenade utile:,La scientifique s'était-elle intéressée aux papillons ?,Oui,Non,Je ne sais pas
2,yes,2019,right-branching RCs,,Les_policiers avaient_poursuivi_le_voleur qui_s'était_échappé par_la_fenêtre,The policemen had chased the thief who had escaped through the window.,L'appartement était sens dessus dessous:,Le voleur était-il toujours dans la maison ?,Non,Oui,Je ne sais pas
2,yes,2020,right-branching RCs,,Le_capitaine avait_réprimandé_les_marins qui_avaient_jeté_de_la_nourriture par_dessus-bord,The captain had reprimanded the sailors who had trown food overboard.,Les vivres commençaient à manquer:,Le capitaine avait-il jeté de la nourriture par-dessus-bord ?,Non,Oui,Je ne sais pas
2,yes,2021,right-branching RCs,,L'infirmière avait_soigné_les_personnes qui_étaient dans_un_état_critique,The nurse.FEM had treated the people who were in a critical condition.,L'explosion fit beaucoup de victimes:,L'infirmière avait-elle ignoré les personnes gravement blessées ?,Non,Oui,Je ne sais pas
2,yes,2022,right-branching RCs,,Le_boulanger avait_livré_les_clients qui_ne_pouvaient_pas sortir_de_chez_eux,The baker had delivered (bread) to the customers who could not get out of the house.,La pandémie fut l'occasion de faire de bonnes actions:,Le boulanger avait-il livré tous ses clients ?,Non,Oui,Je ne sais pas
2,yes,2023,right-branching RCs,,L'agent avait_espionné_l'homme qui_était_suspecté de_trafic_d'œuvres_d'art,The agent had spied on the man who was suspected of trafficking in works of art.,La mission était terminée:,L'agent était-il suspecté de trafic d'œuvres d'art ?,Non,Oui,Je ne sais pas
2,yes,2024,right-branching RCs,,La_factrice avait_salué_les_jeunes qui_s'étaient assis_sur_la_place_du_marché ce_matin-là,The postwoman had greeted the young people who had sat down on the maketplace that morning.,Tout était normal au village:,La factrice avait-elle ignoré les jeunes sur la palce du marché ?,Non,Oui,Je ne sais pas
2,yes,2025,center-embedded RCs,,Le_mécanicien qui_avait_réparé_le_moteur_de_la_voiture il_y_a_une_semaine a_envoyé_la_facture ce_matin,The mechanic who had repaired the car's engine a week ago has sent the invoice this morning. ,Mauvaise nouvelle pour le porte-monnaie:,,,,
2,yes,2026,center-embedded RCs,,Le_maçon qui_avait_construit_le_mur_du_jardin très_rapidement a_été_engagé pour_un_nouveau_projet,The mason who had build the garden's wall very quickly has been hired for a new project.,Le talent est parfois récompensé:,,,,
2,yes,2027,center-embedded RCs,,Le_juge qui_avait_condamné_le_criminel à_vingt_ans_de_prison est_revenu sur_sa_décision,The judge who had sentences the criminal to twenty years in prison went back on his decision.,Personne n'est infaillible:,Le juge avait-il condamné le criminel avant de changer d'avis ?,Oui,Non,Je ne sais pas
2,yes,2028,center-embedded RCs,,Le_patron qui_avait_engagé_le_stagiaire à_la_fin_de_son_stage a_dû_licencier_un_employé,The employer who had hired the intern at the end of his internship has had to fire an employee.,Le monde du travail est parfois cruel:,Le patron a-t-il viré le stagiaire ?,Non,Oui,Je ne sais pas
2,yes,2029,center-embedded RCs,,Le_prix que_l'agriculteur_avait_payé pour_les_engrais_biologiques_l'année_dernière a_augmenté depuis,The price that the farmer had paid for organic fertilisers last year has augmented since.,Les temps sont durs pour les cultivateurs:,,,,
2,yes,2030,center-embedded RCs,,Le_contrat que_l'entrepreneur_avait_signé à_la_fin_de_la_négotiatoin s'est_avéré frauduleux,The contract that the entrepreneur had signed at the end of the negociation proved to be fraudulent.,Personne n'est à l'abri d'une arnaque:,,,,
2,yes,2031,center-embedded RCs,,Le_mouton que_le_fermier_avait_élevé avec_soin a_été_vendu ce_matin_au_marché,The sheep that the farmer had raised with care has been sold this morning on the market.,Bonne nouvelle pour la ferme:,Le fermier a-t-il gardé son mouton ?,Non,Oui,Je ne sais pas
2,yes,2032,center-embedded RCs,,Le_mannequin que_la_costumière_avait_habillé à_la_dernière_minute a_défilé avec_grâce,The model that the costumer.FEM had dressed at the last minute has walked the catwalk with grace.,Une catastrophe fut évitée sur le podium:,La costumière a-t-elle terminé son travail à temps ?,Oui,Non,Je ne sais pas
2,yes,2033,center-embedded RCs,,L'arbre qu'avait_planté_le_jardinier au_début_du_printemps a_déjà_beaucoup_poussé,The tree that the gardener had planted in early spring has already grown a lot.,La nature est impressionnante:,,,,
2,yes,2034,center-embedded RCs,,Le_roman qu'avait_écrit_l'auteur avant_de_commencer_son_oeuvre_théâtrale n'a_pas_eu_de_succès.,The novel that the author had written before starting his theatrical work has not been a success.,Il faut parfois échouer avant de réussir:,,,,
2,yes,2035,center-embedded RCs,,Le_patient qu'avait_suivi_la_psychothérapeute après_un_évènement_traumatique a_pu_remonter la_pente,The patient who the therapist had treated after a traumatic event was able to get back on track.,L'espoir a porté ses fruits:,La psychothérapeute a-t-elle suivi le patient ?,Oui,Non,Je ne sais pas
2,yes,2036,center-embedded RCs,,Le_maire qu'avait_élu_le_peuple à_cause_de_ses_idées_extrémistes a_terminé_son_mandat cette_année,The mayor who the people had elected because of his extermists views has completed his term of office this year.,Des temps meilleurs sont sur le point d'arriver:,Le maire a-t-il interrompu son mandat avant la fin ?,Non,Oui,Je ne sais pas
3,yes,3001,declarative,,Le_pasteur avait_encouragé_la_vieille_dame à_prier chaque_jour,The pastor had encouraged the old lady to pray every day.,Pas de répit pour les croyants:,,,,
3,yes,3002,declarative,,La_patronne_du_café avait_fait_sortir_tous_les_clients après_minuit,The owner.FEM of the café had let all the customers out after midnight.,Le couvre-feu était établi:,,,,
3,yes,3003,declarative,,Les_supporters avaient_crié_de_toutes_leurs_forces lors_du_match,The fans had shouted at the top of their voices during the match.,L'ambiance était à son comble:,,,,
3,yes,3004,declarative,,Les_contrôleurs avaient_verbalisé_les_passagers sortant_du_train,The ticket inspectors had issued tickets to passengers leaving the train.,Pas de chance pour ceux sans billet:,,,,
3,yes,3005,declarative,,L'écrivain avait_préfacé_de_nombreux_livres sur_l'histoire_de_France,The writer had given a preface to many books on French history.,Il était un expert dans son domaine:,,,,
3,yes,3006,declarative,,Le_vieil_homme avait_pêché_beaucoup_de_poisson ce_jour-là,The old man had caught a lot of fish that day.,Les conditions étaient idéales:,,,,
3,yes,3007,declarative,,L'actrice avait_acheté_un_cadeau_pour_son_fils dans_une_brocante,The actress had bought a gift for her son in a flea market.,Pas de goûts de luxe:,,,,
3,yes,3008,declarative,,Les_écoliers avaient_jeté_des_pierres contre_les_vitres_du_bâtiment,The schoolkids had thrown stones against the windows of the building.,La désobéissance était monnaie courante:,,,,
3,yes,3009,declarative,,La_présentatrice avait_interrompu_le_journaliste au_milieu_d'une_phrase,The presenter.FEM had interrupted the reporter in the middle of a sentence.,Un évènement de la plus haute importance avait été annoncé:,,,,
3,yes,3010,declarative,,Le_détective avait_suivi_le_couple_à_travers_la_ville toute_la_nuit,The detective had followed the couple through the city the whole night.,Le soleil se levait sur la ville:,,,,
3,yes,3011,declarative,,L'ouvrier avait_remercié_le_contremaître pour_ses_précieux_conseils,The worker had thanked the foreman for his valuable advice.,Le chantier était enfin terminé:,,,,
3,yes,3012,declarative,,La_serveuse avait_impressionné_les_clients par_son_professionnalisme,The waitress had impressed the customers with her professionalism.,Le café était plein ce jour-là:,,,,
3,yes,3013,right-branching RCs,,Le_docteur avait_soigné_la_patiente qui_était_tombée_malade la_veille_au_soir,The doctor had  cured the patient.FEM who had feel ill the night before.,Miracle à l'hôpital:,La patiente a-t-elle été soignée ?,Oui,Non,Je ne sais pas
3,yes,3014,right-branching RCs,,Le_voyageur avait_suivi_l'autochtone qui_connaissait_le_pays comme_sa_poche,The traveller had followed the local who knew the country like the back of his hand.,Il peut être dangereux de voyager seul:,L'autochtone avait-il guidé le voyageur ?,Oui,Non,Je ne sais pas
3,yes,3015,right-branching RCs,,La_conférencière avait_mentionné_les_philosophes qui_avaient_disserté sur_la_liberté_d'expression,The lecturer.FEM had mentioned the philosophers who had discussed freedom of expression.,Le séminaire avait été très intéressant:,La conférencière a-t-elle parlé de philosophes ?,Oui,Non,Je ne sais pas
3,yes,3016,right-branching RCs,,Le_chien avait_guetté_le_facteur qui_arrivait sur_son_vélo,The dog had looked out for the postman who was arriving on his bike.,On entendit des aboyements:,Le chien attendait-il le facteur ?,Oui,Non,Je ne sais pas
3,yes,3017,right-branching RCs,,Les_touristes avaient_attendu_le_guide qui_avait deux_heures_de_retard,The tourists had waited for the guide who was two hours late.,Tout le monde était fatigué:,Le guide avait-il fait patienter les touristes ?,Oui,Non,Je ne sais pas
3,yes,3018,right-branching RCs,,La_scientifique avait_observé_les_papillons qui_volaient dans_le_bosquet,The scientist.FEM had watched the butterflies that were flying in the grove.,Ce fut une promenade utile:,La scientifique s'était-elle intéressée aux papillons ?,Oui,Non,Je ne sais pas
3,yes,3019,right-branching RCs,,Les_policiers avaient_poursuivi_le_voleur qui_s'était_échappé par_la_fenêtre,The policemen had chased the thief who had escaped through the window.,L'appartement était sens dessus dessous:,Le voleur était-il toujours dans la maison ?,Non,Oui,Je ne sais pas
3,yes,3020,right-branching RCs,,Le_capitaine avait_réprimandé_les_marins qui_avaient_jeté_de_la_nourriture par_dessus-bord,The captain had reprimanded the sailors who had trown food overboard.,Les vivres commençaient à manquer:,Le capitaine avait-il jeté de la nourriture par-dessus-bord ?,Non,Oui,Je ne sais pas
3,yes,3021,right-branching RCs,,L'infirmière avait_soigné_les_personnes qui_étaient dans_un_état_critique,The nurse.FEM had treated the people who were in a critical condition.,L'explosion fit beaucoup de victimes:,L'infirmière avait-elle ignoré les personnes gravement blessées ?,Non,Oui,Je ne sais pas
3,yes,3022,right-branching RCs,,Le_boulanger avait_livré_les_clients qui_ne_pouvaient_pas sortir_de_chez_eux,The baker had delivered (bread) to the customers who could not get out of the house.,La pandémie fut l'occasion de faire de bonnes actions:,Le boulanger avait-il livré tous ses clients ?,Non,Oui,Je ne sais pas
3,yes,3023,right-branching RCs,,L'agent avait_espionné_l'homme qui_était_suspecté de_trafic_d'œuvres_d'art,The agent had spied on the man who was suspected of trafficking in works of art.,La mission était terminée:,L'agent était-il suspecté de trafic d'œuvres d'art ?,Non,Oui,Je ne sais pas
3,yes,3024,right-branching RCs,,La_factrice avait_salué_les_jeunes qui_s'étaient assis_sur_la_place_du_marché ce_matin-là,The postwoman had greeted the young people who had sat down on the maketplace that morning.,Tout était normal au village:,La factrice avait-elle ignoré les jeunes sur la palce du marché ?,Non,Oui,Je ne sais pas
3,yes,3025,center-embedded RCs,,Le_mécanicien qui_avait_réparé_le_moteur_de_la_voiture il_y_a_une_semaine a_envoyé_la_facture ce_matin,The mechanic who had repaired the car's engine a week ago has sent the invoice this morning. ,Mauvaise nouvelle pour le porte-monnaie:,,,,
3,yes,3026,center-embedded RCs,,Le_maçon qui_avait_construit_le_mur_du_jardin très_rapidement a_été_engagé pour_un_nouveau_projet,The mason who had build the garden's wall very quickly has been hired for a new project.,Le talent est parfois récompensé:,,,,
3,yes,3027,center-embedded RCs,,Le_juge qui_avait_condamné_le_criminel à_vingt_ans_de_prison est_revenu sur_sa_décision,The judge who had sentences the criminal to twenty years in prison went back on his decision.,Personne n'est infaillible:,Le juge avait-il condamné le criminel avant de changer d'avis ?,Oui,Non,Je ne sais pas
3,yes,3028,center-embedded RCs,,Le_patron qui_avait_engagé_le_stagiaire à_la_fin_de_son_stage a_dû_licencier_un_employé,The employer who had hired the intern at the end of his internship has had to fire an employee.,Le monde du travail est parfois cruel:,Le patron a-t-il viré le stagiaire ?,Non,Oui,Je ne sais pas
3,yes,3029,center-embedded RCs,,Le_prix que_l'agriculteur_avait_payé pour_les_engrais_biologiques_l'année_dernière a_augmenté depuis,The price that the farmer had paid for organic fertilisers last year has augmented since.,Les temps sont durs pour les cultivateurs:,,,,
3,yes,3030,center-embedded RCs,,Le_contrat que_l'entrepreneur_avait_signé à_la_fin_de_la_négotiatoin s'est_avéré frauduleux,The contract that the entrepreneur had signed at the end of the negociation proved to be fraudulent.,Personne n'est à l'abri d'une arnaque:,,,,
3,yes,3031,center-embedded RCs,,Le_mouton que_le_fermier_avait_élevé avec_soin a_été_vendu ce_matin_au_marché,The sheep that the farmer had raised with care has been sold this morning on the market.,Bonne nouvelle pour la ferme:,Le fermier a-t-il gardé son mouton ?,Non,Oui,Je ne sais pas
3,yes,3032,center-embedded RCs,,Le_mannequin que_la_costumière_avait_habillé à_la_dernière_minute a_défilé avec_grâce,The model that the costumer.FEM had dressed at the last minute has walked the catwalk with grace.,Une catastrophe fut évitée sur le podium:,La costumière a-t-elle terminé son travail à temps ?,Oui,Non,Je ne sais pas
3,yes,3033,center-embedded RCs,,L'arbre qu'avait_planté_le_jardinier au_début_du_printemps a_déjà_beaucoup_poussé,The tree that the gardener had planted in early spring has already grown a lot.,La nature est impressionnante:,,,,
3,yes,3034,center-embedded RCs,,Le_roman qu'avait_écrit_l'auteur avant_de_commencer_son_oeuvre_théâtrale n'a_pas_eu_de_succès.,The novel that the author had written before starting his theatrical work has not been a success.,Il faut parfois échouer avant de réussir:,,,,
3,yes,3035,center-embedded RCs,,Le_patient qu'avait_suivi_la_psychothérapeute après_un_évènement_traumatique a_pu_remonter la_pente,The patient who the therapist had treated after a traumatic event was able to get back on track.,L'espoir a porté ses fruits:,La psychothérapeute a-t-elle suivi le patient ?,Oui,Non,Je ne sais pas
3,yes,3036,center-embedded RCs,,Le_maire qu'avait_élu_le_peuple à_cause_de_ses_idées_extrémistes a_terminé_son_mandat cette_année,The mayor who the people had elected because of his extermists views has completed his term of office this year.,Des temps meilleurs sont sur le point d'arriver:,Le maire a-t-il interrompu son mandat avant la fin ?,Non,Oui,Je ne sais pas
